Rowid_,VALUE,COUNT,VALUE_1,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,G,GROUPVEG,R,B,RED,GREEN,BLUE
,417,27631602,417,10451,10,1010451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,135,135,Ponderosa Pine-Douglas Fir-1,209,Conifer,200,255,0.784310000000000,0.819600000000000,1.000000000000000
,418,7032921,418,10452,10,1010452,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,136,136,Western Larch-Douglas Fir-3,36,Conifer,150,181,0.588230000000000,0.141170000000000,0.709800000000000
,419,15638325,419,10453,10,1010453,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,137,137,Grand Fir-Douglas Fir-Beargrass-3,5,Conifer,230,8,0.901960000000000,0.019600000000000,0.031370000000000
,420,9273917,420,10460,10,1010460,Northern Rocky Mountain Subalpine Woodland and Parkland,139,139,Whitebark Pine-3,170,Conifer,255,0,1.000000000000000,0.666660000000000,0.000000000000000
,421,19933060,421,10471,10,1010471,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,141,141,Grand Fir-Douglas Fir-Western Red Cedar-3,147,Conifer,95,229,0.372540000000000,0.576470000000000,0.898030000000000
,422,79776,422,10472,10,1010472,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,142,142,Western Red Cedar-5,144,Conifer,18,84,0.070580000000000,0.564700000000000,0.329410000000000
,423,9158126,423,10530,10,1010530,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,150,150,Ponderosa Pine-1,85,Conifer,168,0,0.658820000000000,0.333330000000000,0.000000000000000
,424,5827213,424,10550,10,1010550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,153,153,Engelmann Spruce-Subalpine Fir-4,255,Conifer,211,190,0.827450000000000,1.000000000000000,0.745090000000000
,425,21487788,425,10560,10,1010560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,155,155,Engelmann Spruce-Subalpine Fir-Menziesia-4,168,Conifer,56,0,0.219600000000000,0.658820000000000,0.000000000000000
,426,665660,426,10620,10,1010620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,164,164,Curlleaf Mountain Mahogany-Mountain Big Sagebrush-3,19,Shrubland,191,230,0.749020000000000,0.074510000000000,0.901960000000000
