US_140EVT,CLASSNAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3468,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,Tr Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,Tree,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3469,Eastern Great Plains Floodplain Woodland,Tr Eastern Great Plains Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3470,Caribbean Coastal Wetland Systems,Tr Caribbean Coastal Wetland Systems,Tree,Riparian,Mangrove,SAF 106: Mangrove,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3471,Central Interior and Appalachian Floodplain Forest,Tr Central Interior and Appalachian Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3472,Central Interior and Appalachian Riparian Forest,Tr Central Interior and Appalachian Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3473,Gulf and Atlantic Coastal Plain Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3474,Gulf and Atlantic Coastal Plain Small Stream Riparian Woodland,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3475,Laurentian-Acadian Floodplain Forest,Tr Laurentian-Acadian Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3476,Tamaulipan Riparian Woodland,Tr Tamaulipan Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3477,Boreal Acidic Peatland Forest,Tr Boreal Acidic Peatland Systems,Tree,Riparian,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3478,Caribbean Forested Swamp,Tr Caribbean Swamp System,Tree,Riparian,Atlantic Swamp Forests,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3479,Central Interior and Appalachian Swamp Forest,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3480,Gulf and Atlantic Coastal Plain Swamp Systems,Tr Gulf and Atlantic Coastal Plain Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3481,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Tree,Riparian,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3482,Great Plains Prairie Pothole,He Great Plains Prairie Pothole,Herb,Riparian,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3483,South Florida Everglades Sawgrass Marsh,Tr South Florida Everglades Sawgrass Marsh,Herb,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3485,East Gulf Coastal Plain Savanna and Wet Prairie,Tr East Gulf Coastal Plain Savanna and Wet Prairie,Herb,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
