Rowid_,VALUE,COUNT,VALUE_1,CLASSNAME,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
,3030,3454470,3030.000000000000000,Mediterranean California Lower Montane Conifer Forest and Woodland,2030.000000000000000,Tr Mediterranean California Lower Montane Conifer Forest and Woodland,Tree,610.000000000000000,Conifer,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,189.000000000000000,0.000000000000000,0.000000000000000,0.741176000000000,0.000000000000000
,3031,9883479,3031.000000000000000,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,2031.000000000000000,Tr California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Tree,631.000000000000000,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 247: Jeffrey Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,173.000000000000000,0.000000000000000,0.000000000000000,0.678431000000000,0.000000000000000
,3032,11979393,3032.000000000000000,Mediterranean California Red Fir Forest,2032.000000000000000,Tr Mediterranean California Red Fir Forest,Tree,633.000000000000000,Conifer,Red Fir Forest and Woodland,SAF 207: Red Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,158.000000000000000,0.000000000000000,0.000000000000000,0.619608000000000,0.000000000000000
,3033,1525523,3033.000000000000000,Mediterranean California Subalpine Woodland,2033.000000000000000,Tr Mediterranean California Subalpine Woodland,Tree,640.000000000000000,Conifer,Subalpine Woodland and Parkland,SAF 256: California Mixed Subalpine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,145.000000000000000,0.000000000000000,0.000000000000000,0.568627000000000,0.000000000000000
,3034,989515,3034.000000000000000,Mediterranean California Mesic Serpentine Woodland and Chaparral,2034.000000000000000,Tr Mediterranean California Mesic Serpentine Woodland and Chaparral,Tree,607.000000000000000,Conifer,Chaparral,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,224.000000000000000,252.000000000000000,192.000000000000000,0.878431000000000,0.988235000000000,0.752941000000000
,3035,711826,3035.000000000000000,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,2035.000000000000000,Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Tree,614.000000000000000,Conifer,Douglas-fir Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,130.000000000000000,0.000000000000000,0.000000000000000,0.509804000000000,0.000000000000000
,3036,7737621,3036.000000000000000,North Pacific Hypermaritime Seasonal Sitka Spruce Forest,2036.000000000000000,Tr North Pacific Hypermaritime Seasonal Sitka Spruce Forest,Tree,638.000000000000000,Conifer,Sitka Spruce Forest,SAF 223: Sitka Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,117.000000000000000,0.000000000000000,0.000000000000000,0.458824000000000,0.000000000000000
,3037,38649230,3037.000000000000000,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,2037.000000000000000,Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tree,615.000000000000000,Conifer,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,105.000000000000000,0.000000000000000,0.000000000000000,0.411765000000000,0.000000000000000
,3038,524086,3038.000000000000000,North Pacific Maritime Mesic Subalpine Parkland,2038.000000000000000,Tr North Pacific Maritime Mesic Subalpine Parkland,Tree,627.000000000000000,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,92.000000000000000,0.000000000000000,0.000000000000000,0.360784000000000,0.000000000000000
,3039,16820651,3039.000000000000000,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2039.000000000000000,Tr North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Tree,615.000000000000000,Conifer,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,105.000000000000000,0.000000000000000,0.000000000000000,0.411765000000000,0.000000000000000
,3041,4956461,3041.000000000000000,North Pacific Mountain Hemlock Forest,2041.000000000000000,Tr North Pacific Mountain Hemlock Forest,Tree,627.000000000000000,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,92.000000000000000,0.000000000000000,0.000000000000000,0.360784000000000,0.000000000000000
,3042,9578217,3042.000000000000000,North Pacific Mesic Western Hemlock-Silver Fir Forest,2042.000000000000000,Tr North Pacific Mesic Western Hemlock-Silver Fir Forest,Tree,642.000000000000000,Conifer,Western Hemlock-Silver Fir Forest,SAF 226: Coastal True Fir-Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,71.000000000000000,0.000000000000000,0.000000000000000,0.278431000000000,0.000000000000000
,3043,17052304,3043.000000000000000,Mediterranean California Mixed Evergreen Forest,2043.000000000000000,Tr Mediterranean California Mixed Evergreen Forest,Tree,626.000000000000000,Conifer,California Mixed Evergreen Forest and Woodland,SAF 234: Douglas-Fir-Tanoak-Pacific Madrone,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,61.000000000000000,0.000000000000000,0.000000000000000,0.239216000000000,0.000000000000000
,3044,891550,3044.000000000000000,Northern California Mesic Subalpine Woodland,2044.000000000000000,Tr Northern California Mesic Subalpine Woodland,Tree,627.000000000000000,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,92.000000000000000,0.000000000000000,0.000000000000000,0.360784000000000,0.000000000000000
